player,nba_id,team_id,team,DRAFT_YEAR,DRAFT_NUMBER
McDermott Doug,203926,1610612754,IND,2014.0,11.0
McGee JaVale,201580,1610612758,SAC,2008.0,18.0
McGlothan Gabe,1642440,1610612743,DEN,,
McGowens Bryce,1631121,1610612757,POR,2022.0,40.0
McLaughlin Jordan,1629162,1610612758,SAC,,
McVeigh Jack,1629098,1610612745,HOU,,
Melton De'Anthony,1629001,1610612744,GSW,2018.0,46.0
Merrill Sam,1630241,1610612739,CLE,2020.0,60.0
Micic Vasilije,203995,1610612766,CHA,2014.0,52.0
Middleton Khris,203114,1610612749,MIL,2012.0,39.0
Miller Brandon,1641706,1610612766,CHA,2023.0,2.0
Miller Emanuel,1641801,1610612742,DAL,,
Miller Jordan,1641757,1610612746,LAC,2023.0,48.0
